date.time,lev1.uavg,lev2.uavg,lev1.ustar,lev2.ustar,lev1.sh,lev1.le.1,lev1.le.2,lev1.co2.1,lev1.hno3,lev1.hono,lev1.n2o,lev1.le.gd,lev1.co2.gd,lev1.nh3.gd,lev1.no.gd,lev1.nox.gd,lev1.n2o.gd,lev1.wd,lev2.wd,lev1.xmax,flag.stat,flag.itc,flag.fpt,flag.n1n2,lev1.ta,lev2.ta,sj.lev1.co2,sj.lev1.hno3,sj.lev1.hono,sj.lev1.n2o,sj.nox.flux,sj.no.flux
2019/07/07 00:00:00,2.493240823,2.119201823,0.236309927,0.174120836,-13.16479162,18.2463822,15.38916227,0.095326505,0.002113586,0.007268874,2.651811646,-12.50275767,-0.028872915,0.006539347,-2.27E-05,-0.000894031,2.58E-06,239.01495,224.3682846,16.61913238,0.666666667,1,0.666666667,,29.57642626,29.07743267,4.1943662,0.133155947,0.341637074,116.6797124,,
2019/07/07 01:00:00,1.576099082,1.306124264,0.130257386,0.102102654,-8.395050744,11.93211431,12.80305217,0.059317296,0.000417152,0.004173466,1.830214647,-7.312985813,-0.012199699,-0.002305901,-3.45E-05,-2.75E-05,-6.48E-06,238.7333687,222.9261088,14.85449615,0.333333333,1,0.333333333,,29.24256389,28.80867227,2.60996104,0.026280564,0.196152911,80.52944447,,
2019/07/07 02:00:00,0.986604716,0.763669741,0.076117012,0.066631097,-3.294371033,2.727645123,4.976394938,0.048954126,0.000774316,0.001935558,0.467944592,-1.457142868,-0.004216423,0.000532032,-0.000153393,-0.000602169,-8.93E-08,216.617197,201.3270515,15.52008233,0.5,1,1,,28.27018755,27.78536216,2.153981541,0.048781928,0.09097122,20.58956203,,
2019/07/07 03:00:00,1.488716588,1.158805731,0.136691601,0.090159842,-2.484172794,-2.739970142,5.2346247,-0.110112665,0.001313482,0.004469509,1.482508511,-1.987858721,-0.005063769,0.001267435,-3.63E-05,-9.62E-05,1.36E-06,228.5638977,212.8729253,17.9650014,0.25,1,1,,28.3015949,27.90286078,-4.844957276,0.082749352,0.210066906,65.23037448,,
2019/07/07 04:00:00,1.492514217,1.184274053,0.136153457,0.102945338,-5.41493809,3.049300947,8.171061594,-0.035673744,0.001239727,0.003959015,2.753531704,-4.564372985,-0.00099528,0.001229891,-0.000187634,0.000235363,4.79E-06,222.7016386,207.8712962,15.44872538,0,1,1,,28.45363686,28.0843408,-1.569644739,0.078102825,0.186073711,121.155395,,
2019/07/07 05:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/07/07 06:00:00,1.174486437,1.012125174,0.128169329,0.091689547,2.231461691,29.38313117,27.34788421,0.009314674,0.001315698,0.003596931,1.683243302,4.033023785,-0.000904048,-0.001361502,-0.000329252,-0.000195167,2.08E-07,217.8453841,204.4536161,15.34568974,0,1,1,,28.80868772,28.11139159,0.409845643,0.082888993,0.169055762,74.06270527,,
2019/07/07 07:00:00,1.92327102,1.609937286,0.189968962,0.171737852,20.62496867,74.05600089,15.2184047,-0.072959916,0.001449859,0.005681772,3.059615353,19.21626854,-0.001200828,0.008897713,-0.002528982,-0.001839784,-4.94E-06,203.4094248,195.8750527,12.41060088,0.5,1,1,,30.38727631,29.47282377,-3.210236311,0.091341127,0.267043304,134.6230755,,
2019/07/07 08:00:00,1.854795388,1.628876491,0.208441802,0.15962786,33.30430117,169.9686294,110.7443067,-0.177622517,0.003324375,0.022625903,8.102905192,55.50663822,-0.016554841,0.019014039,0.00169009,0.001861303,-1.41E-05,220.7596089,207.6296106,13.281915,1,1,1,,32.22615928,31.2117964,-7.815390731,0.209435653,1.063417446,356.5278285,,
2019/07/07 09:00:00,2.14580643,1.713404551,0.329781321,0.215322431,67.84495352,392.3585923,112.3087886,-0.354646249,0.003316986,0.025764509,8.62158784,127.8958522,0.004662143,0.101281485,0.000218473,0.000469338,-2.30E-05,198.3469004,198.5070657,9.734929558,0.25,1,1,,34.26719934,33.05929719,-15.60443496,0.20897012,1.21093193,379.349865,,
